CustomerID,Age,HomeOwner,ResidenceLength,DwellingType,Gender,Marital,HouseholdSize,ChildPresent,Child0.5,Child6.12,Child13.18,Income,Occupation,HomeValue,MagazineStatus,PaidDirectMailOrders,YearsSinceLastOrder,TotalAmountPaid,PoundsPerIssue,TotalPaidOrders,MonthsSinceLastPayment,LastPaymentType,UnpaidMagazines,PaidCashMagazines,PaidReinstateMagazines,PaidCreditMagazines,ActiveSubscriptions,ExpiredSubscriptions,RequestedCancellations,NoPayCancellations,PaidComplaints,GiftDonor,NumberGiftDonations,MonthsSince1stOrder,MonthsSinceLastOrder,MonthsSinceExpire,Renewal
1181,46,50,13,S,F,S,1,U,25,25,35,5000,U,6,E,2,1,72.0,0.84,5,12,A,0,3,0,0,0,3,0,0,0,N,0,18,18,5,No
15296,56,100,6,S,F,M,4,Y,45,100,100,112000,M,5,A,1,5,51.24,0.64,4,26,A,0,2,0,1,1,2,0,0,0,Y,1,35,35,21,No
37344,38,100,8,S,M,M,2,Y,100,100,85,67000,U,2,E,0,4,0.0,0.19,0,39,F,0,2,0,0,0,2,0,1,0,N,0,39,39,25,No
16702,67,100,14,S,F,M,2,Y,0,0,100,15000,M,3,E,0,3,40.99,1.0,2,41,A,0,2,0,0,0,2,0,0,0,N,0,138,60,47,No
40944,42,0,5,S,F,S,1,U,35,25,15,17000,R,2,E,0,5,27.0,0.92,3,35,A,0,3,0,0,0,3,0,0,0,N,0,100,39,25,No
18943,70,100,12,S,F,M,3,Y,15,0,25,94000,W,3,E,0,8,20.0,0.56,1,68,1,0,0,0,1,0,1,0,0,0,N,0,72,72,34,Yes
39236,51,0,14,S,F,M,3,N,0,65,35,5000,M,9,E,0,3,21.98,0.34,2,35,A,1,1,0,1,0,2,0,1,0,N,0,178,35,27,No
368,45,20,1,M,F,S,2,Y,0,100,0,62500,U,4,O,0,12,0.0,0.79,0,118,1,0,0,0,1,0,2,0,0,0,N,0,121,121,109,No
6642,53,100,11,S,M,M,3,N,45,65,35,500000,W,9,A,1,2,83.97,1.15,4,4,A,1,2,0,1,1,2,1,0,0,N,0,126,107,91,No
8167,72,100,14,S,F,M,4,N,0,0,45,44000,R,3,O,1,7,20.49,0.57,1,75,1,0,0,0,1,0,1,0,0,0,N,0,75,75,39,No
33629,55,100,14,S,F,M,4,Y,45,100,45,39000,H,3,A,0,4,86.0,0.74,4,30,A,1,2,0,0,1,1,0,1,0,N,0,54,54,41,No
19021,57,100,1,S,F,M,4,Y,35,100,25,59000,W,8,A,0,0,25.0,0.57,2,16,0,1,0,0,2,1,1,0,1,0,N,0,20,20,5,No
13159,48,100,14,M,F,M,2,N,45,45,45,74000,U,3,A,0,0,272.38,1.04,19,13,A,1,2,0,0,1,1,0,1,0,N,0,243,51,14,No
1220,72,50,7,S,F,S,1,N,25,0,35,9000,B,4,O,1,9,38.0,0.79,1,118,1,0,0,0,1,0,1,0,0,0,N,0,136,119,89,No
10832,54,100,14,S,F,M,3,N,45,45,35,83000,W,4,E,7,3,190.56,0.83,18,53,A,1,4,0,1,0,5,1,0,0,Y,3,258,53,23,No
6321,75,100,14,S,F,M,2,N,45,45,45,105000,R,4,A,1,2,244.94,0.87,17,4,A,0,4,1,0,1,4,0,0,0,N,0,198,33,7,No
37330,78,100,10,M,F,M,2,U,15,15,35,18000,R,5,A,0,0,17.0,0.74,2,6,A,0,2,0,0,1,1,0,0,0,N,0,39,39,25,No
15019,48,100,6,S,F,M,4,Y,100,75,65,121000,U,6,E,1,0,20.49,0.21,2,9,A,1,2,0,0,0,2,0,2,0,N,0,75,75,39,No
24263,39,100,1,S,F,M,4,Y,100,100,65,193000,W,9,O,1,8,65.97,0.69,5,62,A,0,1,0,1,0,2,0,0,0,Y,2,110,86,51,No
10367,77,100,14,S,F,M,2,N,0,0,25,21000,R,2,C,0,14,26.94,1.16,2,132,A,1,1,0,0,0,1,1,0,0,N,0,132,132,118,No
36132,36,100,3,S,M,M,3,Y,55,100,65,104000,M,5,O,0,5,22.0,1.83,1,51,A,0,1,0,0,0,1,0,0,0,N,0,51,51,40,Yes
27474,46,100,13,S,F,S,3,Y,45,75,100,11000,H,2,E,0,4,37.0,0.56,2,55,I,0,0,0,1,0,2,0,0,0,N,0,231,58,19,No
12325,64,100,3,S,F,S,4,Y,100,100,35,47000,B,3,O,0,6,167.83,2.38,10,61,A,0,1,0,1,0,2,0,0,0,Y,1,118,118,93,No
26549,46,100,4,S,F,M,4,Y,25,35,100,177000,M,6,E,1,3,5.99,0.25,1,46,A,0,1,0,0,0,1,0,0,0,N,0,46,46,33,No
29839,49,100,1,S,F,S,3,Y,0,100,100,112500,W,8,O,1,6,350.06,3.37,28,96,A,0,3,0,1,0,4,0,0,0,Y,12,138,138,73,Yes
39554,47,0,7,S,F,S,2,Y,45,65,45,161000,M,3,O,0,9,52.0,1.06,2,94,A,0,1,0,0,0,1,0,0,0,N,0,115,94,66,No
25253,43,100,12,S,F,M,4,Y,35,100,75,35000,B,2,E,0,3,67.06,0.68,5,48,2,0,1,0,1,0,2,0,0,0,N,0,96,49,20,No
4618,54,100,12,S,F,M,2,N,15,0,45,124000,M,4,B,0,15,143.17,4.99,8,147,1,0,1,0,4,0,3,1,1,0,N,0,188,149,112,No
41221,46,0,5,S,U,S,1,Y,0,0,0,25000,U,6,E,0,6,113.94,1.58,2,72,A,0,2,0,0,0,2,0,0,0,N,0,72,72,35,No
17715,59,100,14,S,F,M,3,N,45,0,25,185000,U,8,O,0,8,28.0,1.0,2,62,A,0,1,0,1,0,2,0,0,0,N,0,105,105,80,No
26471,41,100,8,S,F,M,4,Y,100,100,65,62000,W,2,E,0,0,104.0,0.85,6,4,A,0,4,0,0,0,4,0,0,0,N,0,52,41,10,No
15401,48,100,9,S,F,M,6,Y,100,0,100,112500,W,1,E,2,0,25.0,0.33,3,38,F,1,2,0,0,0,2,1,0,0,Y,1,46,41,20,No
21903,40,100,14,S,F,M,3,Y,75,100,45,58000,W,2,E,3,5,53.96,0.36,7,31,A,2,1,0,0,0,3,0,0,0,N,0,191,31,18,No
34380,46,100,14,M,F,M,2,Y,100,25,45,8000,B,2,E,0,5,63.97,0.64,4,48,M,0,2,0,1,0,3,0,0,0,N,0,51,49,24,No
38171,41,100,10,S,F,S,2,Y,45,65,45,89000,U,4,E,0,3,0.0,0.56,0,28,A,0,1,0,0,0,1,0,0,0,N,0,28,28,13,No
35004,44,100,9,S,F,S,2,Y,25,35,100,33000,M,5,O,0,10,22.0,0.92,1,63,A,0,1,0,0,0,1,0,0,0,N,0,63,63,39,No
41284,32,0,14,S,F,M,3,Y,45,100,35,5000,H,2,O,0,10,22.0,0.92,1,68,A,0,1,0,0,0,1,0,0,0,N,0,68,68,45,No
2098,47,70,1,S,M,S,1,N,35,15,15,35000,U,3,E,0,5,66.0,1.83,1,60,A,0,1,0,0,0,1,0,0,0,N,0,60,60,24,No
25387,44,100,6,S,F,M,5,Y,100,100,100,178000,M,7,E,1,1,75.94,0.25,8,15,A,1,2,1,0,0,4,0,1,0,N,0,249,86,49,No
18861,52,100,1,S,F,M,3,N,0,0,0,17500,H,3,O,0,9,12.0,0.71,1,71,A,0,2,0,0,0,2,0,0,0,N,0,71,71,59,No
30951,44,100,5,M,F,M,5,Y,100,100,100,369000,W,9,B,0,9,34.0,1.12,2,74,A,0,3,0,0,0,2,0,1,0,N,0,111,111,86,No
17695,52,100,10,S,F,M,5,Y,0,100,100,176000,M,5,O,0,6,35.95,1.33,1,103,A,0,0,1,0,0,1,0,0,0,N,0,104,103,75,Yes
17075,75,100,9,S,F,M,2,N,35,15,35,71000,W,3,E,0,1,120.0,0.9,6,17,A,0,3,0,0,0,3,0,0,0,Y,2,192,87,46,No
26754,64,100,7,S,F,M,3,Y,25,0,35,137000,M,5,O,0,7,115.85,1.0,5,82,A,0,3,0,0,0,3,0,0,0,N,0,82,82,58,No
1133,38,50,2,S,F,S,1,Y,100,25,15,38000,H,4,E,0,2,12.0,0.14,2,14,A,2,2,0,0,0,2,0,3,0,N,0,17,14,3,No
27862,43,100,10,S,F,M,5,Y,100,100,100,169000,W,9,B,0,9,50.0,1.33,2,105,A,1,1,1,0,0,2,0,1,0,N,0,105,105,78,Yes
32712,48,100,14,S,F,S,1,N,15,25,15,5000,M,2,A,5,2,96.27,0.6,7,33,A,0,3,0,0,1,2,0,0,0,N,0,100,99,26,No
4038,57,100,14,S,F,M,5,Y,65,100,45,47000,B,2,O,2,6,297.81,0.53,9,80,3,0,1,1,1,0,3,0,0,0,N,0,235,83,46,No
7122,65,100,14,S,F,M,4,N,45,55,35,52000,B,2,O,3,10,61.94,0.64,3,74,2,0,0,2,2,0,4,0,0,0,N,0,111,111,75,No
24825,42,100,14,S,F,M,4,Y,0,100,100,45000,B,6,E,0,5,94.0,0.97,4,27,A,0,2,0,0,0,3,0,0,0,Y,1,27,27,13,No
28296,60,100,14,M,F,S,1,N,0,0,45,15000,M,6,O,0,9,19.0,0.92,1,78,A,0,1,0,0,0,1,0,0,0,N,0,179,78,60,No
28109,62,100,6,S,F,M,2,N,0,0,0,62500,B,4,O,0,8,49.0,1.0,2,98,A,0,2,0,0,0,2,0,0,0,N,0,98,98,74,No
37424,71,100,14,S,F,M,2,Y,15,0,100,70000,M,9,E,0,5,40.0,1.11,2,35,A,0,2,0,0,0,2,0,0,0,N,0,35,35,11,No
28477,52,100,8,S,F,M,2,N,35,0,45,126000,W,5,O,0,10,0.0,0.92,0,101,A,0,1,0,0,0,1,0,0,0,N,0,101,101,76,No
36298,36,100,6,S,F,S,4,Y,25,35,15,76000,U,3,O,0,5,0.0,0.56,0,50,A,0,1,0,0,0,1,0,0,0,N,0,50,50,37,No
14154,56,100,14,S,F,M,6,N,45,35,35,93000,H,9,O,0,7,22.0,0.92,1,108,A,0,1,0,0,0,1,0,0,0,N,0,108,108,83,No
38901,57,0,8,S,M,S,1,Y,100,0,25,57000,R,3,O,0,8,26.94,0.92,2,79,A,0,1,0,0,0,1,0,0,0,N,0,300,79,55,No
30408,44,100,13,S,F,M,6,Y,100,100,100,142000,B,2,O,0,7,41.96,1.07,3,70,A,0,3,0,0,0,4,0,0,0,N,0,121,91,78,No
4714,69,100,14,S,F,S,3,N,35,0,35,29000,M,3,B,0,9,281.74,0.38,16,72,A,4,3,1,0,0,4,0,4,0,Y,1,230,72,60,No
8580,64,100,7,S,F,M,4,N,25,0,35,84000,H,6,E,2,2,30.99,0.4,3,23,A,1,2,0,0,0,2,0,0,0,N,0,36,36,22,No
8697,55,100,1,S,F,M,4,Y,0,35,100,117000,W,2,A,3,0,112.92,0.65,7,5,A,2,3,0,0,1,2,2,0,0,N,0,118,90,33,No
22886,39,100,11,S,F,M,4,Y,100,100,65,164000,R,6,E,0,0,70.0,0.44,6,11,A,0,4,0,0,0,4,0,1,0,N,0,206,61,25,No
16163,67,100,7,S,M,M,4,Y,75,100,45,145000,W,5,E,0,4,92.5,0.84,7,57,A,0,2,0,0,0,2,0,0,0,N,0,204,57,32,No
21709,42,100,14,S,F,M,4,Y,65,100,100,500000,U,9,O,1,5,102.0,1.58,7,57,A,0,3,0,0,0,3,0,0,0,N,0,208,137,111,Yes
29512,57,100,14,S,F,M,3,N,15,0,35,97000,W,3,E,0,2,270.0,1.94,10,11,A,0,2,0,0,0,2,0,0,0,N,0,130,11,9,No
3054,52,100,9,S,F,S,1,Y,15,100,100,5000,W,2,E,1,2,268.7,0.57,6,40,A,0,2,0,0,0,2,0,0,0,Y,1,118,40,15,No
35178,45,100,14,S,F,S,4,Y,100,55,45,27000,W,2,E,0,2,31.16,1.21,2,5,A,0,1,1,0,0,2,0,1,0,N,0,61,49,31,No
29436,42,100,10,S,F,M,2,Y,100,55,45,183000,W,2,O,0,10,40.97,0.93,2,106,A,0,2,0,0,0,2,0,0,0,N,0,131,131,107,No
32623,44,100,14,S,F,S,3,Y,65,100,65,96000,M,5,E,0,0,0.0,0.0,2,22,A,0,1,0,0,0,1,0,0,0,N,0,34,22,9,No
19290,24,100,14,S,F,M,1,N,15,25,15,23000,U,2,A,0,3,10.0,0.31,3,32,A,0,2,0,0,1,1,0,0,0,N,0,32,32,18,No
19255,35,100,7,S,F,S,1,U,25,35,35,7000,M,2,O,0,7,0.49,0.04,1,64,A,0,1,0,0,0,1,0,0,0,N,0,64,64,50,No
8554,71,100,14,S,M,M,2,Y,55,35,35,51000,H,3,E,2,4,33.0,0.47,3,21,3,1,0,0,1,0,2,0,0,0,N,0,47,47,10,No
34431,28,100,1,S,F,S,3,Y,35,75,75,5000,M,2,E,0,9,66.0,1.83,1,68,A,0,1,0,0,0,1,0,0,0,N,0,68,68,9,No
28460,51,100,4,S,F,M,3,N,0,0,45,500000,W,9,E,0,3,56.9,0.24,4,44,A,1,3,0,0,0,2,2,0,0,N,0,44,44,29,Yes
19018,37,100,14,S,M,S,3,Y,100,25,15,17000,U,2,E,0,3,56.0,1.2,1,28,A,0,2,0,0,0,2,0,0,0,N,0,52,52,3,No
15392,62,100,1,S,F,S,3,Y,35,55,45,87000,W,5,E,1,4,19.0,0.53,1,47,1,0,0,0,1,0,1,0,0,0,N,0,48,48,11,No
10048,58,100,14,S,F,M,5,N,0,0,0,74000,W,2,A,2,1,206.38,0.29,33,13,A,1,8,0,0,1,7,1,0,0,Y,13,79,35,21,No
25370,33,100,7,S,F,M,2,Y,100,100,45,89000,B,3,E,0,0,81.95,0.7,5,8,A,0,2,0,0,0,2,0,1,0,N,0,94,50,37,No
8544,78,100,4,S,F,S,1,N,15,25,35,64000,W,9,E,1,3,19.0,0.53,1,47,1,0,0,0,1,0,1,0,0,0,N,0,48,48,10,No
37024,41,100,4,S,F,S,2,Y,100,100,0,30000,H,3,E,0,5,0.0,0.0,1,42,A,0,1,0,0,0,1,0,0,0,N,0,42,42,30,No
2545,56,100,14,S,F,M,3,Y,65,0,100,158000,W,9,E,2,4,175.97,1.0,10,34,A,0,2,0,0,0,2,0,0,0,N,0,275,34,9,Yes
788,44,20,2,S,F,M,2,N,15,15,25,25000,U,2,E,0,5,0.0,0.0,1,27,A,0,1,0,0,0,1,0,0,0,N,0,27,27,13,No
8213,64,100,14,S,F,M,2,N,45,35,35,58000,W,2,A,2,2,78.97,0.67,4,23,A,0,3,0,0,1,2,0,0,0,N,0,74,74,50,No
36503,42,100,7,S,F,M,3,Y,65,100,100,18000,W,1,E,0,5,1.0,0.06,2,43,A,0,2,0,0,0,2,0,0,0,N,0,48,48,41,No
39160,79,0,12,S,F,S,1,N,15,0,35,32000,R,2,O,0,9,101.63,1.0,5,110,A,0,1,1,0,0,2,0,0,0,N,0,122,110,86,No
11317,53,100,14,S,F,M,4,Y,0,35,100,324000,U,9,O,1,10,52.0,0.92,12,97,1,0,0,0,1,0,1,0,0,0,Y,5,202,98,69,No
27297,53,100,7,S,F,M,2,U,0,0,0,62500,M,5,O,1,6,35.0,0.79,2,118,2,0,0,0,1,0,1,0,0,0,N,0,252,119,95,No
31139,69,100,12,S,F,M,2,N,45,45,35,144000,M,4,E,0,7,106.9,1.1,3,81,A,0,2,0,0,0,2,0,0,0,N,0,110,110,85,No
20436,46,100,6,S,F,M,2,N,25,25,45,111000,M,5,E,0,5,0.0,0.58,0,35,1,0,0,0,1,0,1,0,0,0,N,0,37,37,23,No
37887,59,100,14,S,F,M,3,Y,0,100,100,101000,W,5,E,0,3,0.0,0.0,1,33,A,0,1,0,0,0,1,0,0,0,N,0,33,33,19,No
31666,50,100,1,S,F,M,4,Y,100,75,100,88000,M,8,A,0,0,134.97,1.85,6,3,A,0,3,0,0,1,2,0,0,0,N,0,27,27,13,No
17202,55,100,4,S,F,M,3,Y,15,0,45,82000,W,4,O,0,13,19.0,0.79,1,121,A,0,1,0,0,0,1,0,0,0,N,0,121,121,97,No
15240,68,100,2,S,F,S,2,N,15,0,25,150000,U,6,E,0,4,75.78,0.95,4,35,A,0,3,0,0,0,3,0,0,0,N,0,62,45,14,No
21955,37,100,14,S,F,M,3,Y,45,75,75,136000,M,3,O,0,9,72.99,0.9,4,83,1,0,1,0,1,0,2,0,0,0,N,0,134,84,60,No
30504,63,100,9,S,M,M,2,Y,65,45,100,100000,W,9,B,0,4,19.0,0.29,1,119,0,2,1,0,0,0,1,0,2,0,N,0,119,119,107,No
16177,50,100,14,M,F,M,4,Y,45,55,45,30000,M,3,B,0,7,54.84,0.92,2,108,A,1,2,0,0,0,2,0,1,0,N,0,108,108,72,No
4176,68,100,4,S,F,S,1,N,15,0,35,24000,B,2,E,0,4,55.46,0.61,5,31,A,2,2,0,0,0,2,0,2,0,Y,1,225,33,19,No
7939,58,100,14,S,F,M,4,Y,15,0,100,87000,M,7,E,0,3,82.95,0.67,5,41,A,0,2,0,0,0,2,0,0,0,N,0,237,41,3,No
5879,76,100,4,M,F,S,1,N,0,0,15,49000,R,3,E,2,4,72.4,0.56,4,57,1,0,0,0,2,0,2,0,0,0,N,0,133,70,34,No
6556,72,100,14,S,F,S,1,N,15,15,35,30000,H,2,E,2,1,47.96,0.52,4,18,A,1,2,0,0,0,3,0,0,0,N,0,53,53,17,No
13184,52,100,1,S,F,M,6,Y,100,45,100,177000,W,3,E,5,6,110.75,0.75,8,61,2,0,0,0,3,0,3,0,0,0,N,0,63,63,27,No
31915,43,100,14,S,F,M,4,Y,100,75,100,128000,U,3,E,0,4,43.95,1.0,2,46,A,0,1,1,0,0,2,0,0,0,N,0,46,46,21,No
4204,76,100,14,S,F,M,2,N,45,35,45,28000,U,2,E,3,4,80.97,0.71,4,36,1,0,0,0,3,0,3,0,0,0,N,0,138,100,63,No
37348,60,100,9,S,F,M,5,Y,100,0,35,99000,W,2,E,0,5,0.0,0.56,0,39,A,0,1,0,0,0,1,0,0,0,N,0,39,39,25,No
947,32,40,7,S,U,S,1,U,35,15,15,12000,W,2,E,0,4,20.0,0.56,2,50,A,0,1,0,0,0,1,0,0,0,N,0,58,50,21,No
30582,52,100,14,S,M,M,3,N,45,35,45,69000,B,3,O,0,7,38.0,1.58,1,119,A,0,1,0,0,0,1,0,0,0,N,0,119,119,94,No
4762,52,100,14,S,F,M,3,N,35,0,45,114000,W,3,E,0,5,166.92,0.71,9,53,0,1,1,0,1,0,2,1,0,0,N,0,202,53,25,No
12064,51,100,7,S,F,M,6,Y,65,100,100,112000,W,2,E,3,3,216.55,0.53,15,45,2,1,3,0,2,0,5,1,0,0,N,0,288,48,10,No
8481,76,100,4,S,F,M,1,N,35,35,25,20000,W,6,E,3,3,40.0,0.43,3,31,A,0,1,0,2,0,3,0,0,0,N,0,31,31,18,No
1655,34,70,1,M,F,S,2,Y,0,0,35,5000,U,3,O,0,6,0.0,0.92,0,100,A,0,1,0,0,0,1,0,0,0,N,0,111,100,85,No
3790,73,100,14,S,F,S,4,N,25,0,45,196000,M,5,A,3,2,98.97,0.59,5,10,1,2,1,0,1,1,1,0,2,0,N,0,406,38,11,Yes
14389,52,100,8,S,F,S,1,U,45,65,35,41000,U,3,O,0,7,53.97,0.9,3,95,1,0,1,0,1,0,2,0,0,0,N,0,95,94,47,No
40121,32,0,1,M,F,S,3,Y,100,100,45,8000,W,5,B,0,6,46.0,1.83,2,68,S,0,2,0,1,0,2,0,1,0,N,0,75,75,60,No
24915,44,100,7,S,F,M,2,Y,0,100,0,137500,U,6,A,1,1,39.0,0.52,4,7,A,0,3,0,0,1,3,0,0,0,N,0,78,66,17,No
18891,36,100,14,S,F,M,3,Y,100,35,100,80000,M,3,B,0,10,90.95,0.39,4,116,0,1,2,0,0,0,3,0,1,0,N,0,163,131,77,No
32267,50,100,1,S,F,S,4,Y,100,0,45,62000,M,2,O,0,10,14.97,1.25,1,93,A,0,1,0,0,0,1,0,0,0,N,0,93,93,80,No
8418,61,100,4,S,F,S,2,U,35,25,45,32000,W,2,E,0,3,53.97,1.07,4,26,A,0,2,0,1,0,3,0,0,0,N,0,35,26,13,No
19153,50,100,14,M,M,M,3,Y,0,0,0,56000,U,2,O,0,8,5.99,0.5,1,66,A,0,1,0,0,0,1,0,0,0,N,0,66,66,53,No
8505,56,100,14,S,F,M,4,Y,45,35,100,157000,M,4,A,1,2,53.0,0.66,3,2,A,0,1,0,1,1,1,0,0,0,N,0,51,51,15,No
2254,27,70,1,S,M,S,3,U,45,25,25,22000,U,2,E,0,4,2.0,0.17,1,28,A,0,1,0,0,0,1,0,0,0,N,0,28,28,14,No
28547,45,100,1,S,F,M,3,Y,100,100,100,30000,W,4,E,0,4,85.8,0.5,2,32,A,0,2,0,0,0,2,0,0,0,N,0,171,32,18,No
30180,41,100,1,S,F,M,1,Y,75,100,100,146000,U,7,O,0,7,19.0,0.63,1,124,F,0,1,0,0,0,2,0,0,0,N,0,124,124,100,No
6337,67,100,14,S,F,M,6,Y,100,100,100,87500,B,2,A,8,0,143.97,0.73,12,6,A,1,1,0,3,1,4,0,0,0,N,0,324,117,80,No
30663,77,100,14,S,M,S,1,N,0,0,35,75000,R,3,O,0,10,45.97,1.04,2,99,A,0,2,0,0,0,2,0,0,0,N,0,99,99,74,No
3669,73,100,8,S,F,M,2,N,0,15,45,48000,R,2,C,2,7,122.38,0.41,4,75,0,2,0,0,2,0,2,2,0,0,N,0,154,154,118,No
5928,61,100,3,S,F,M,5,Y,0,0,0,137500,M,9,O,2,9,68.1,0.94,5,116,3,0,1,1,1,0,3,0,0,0,N,0,234,119,94,No
30651,70,100,12,S,F,M,1,N,0,0,0,225000,R,4,O,0,9,56.0,0.88,3,78,A,0,1,0,0,0,1,0,0,0,N,0,118,78,53,No
32,28,10,2,M,M,S,1,U,35,35,15,46000,M,9,E,0,5,0.0,0.74,1,36,S,0,2,0,0,0,1,0,1,0,N,0,46,46,34,No
23943,41,100,1,S,M,M,5,Y,100,100,45,39000,W,2,E,2,3,193.83,0.88,13,48,A,0,7,0,0,0,7,0,0,0,N,0,120,48,19,No
9386,54,100,1,M,F,M,3,N,45,45,45,117000,M,5,A,1,1,58.46,0.62,5,1,A,0,2,0,0,1,1,0,0,0,N,0,298,45,7,Yes
33297,31,100,7,S,F,M,3,Y,65,100,65,122000,U,4,O,0,7,0.0,0.92,0,79,A,0,1,0,0,0,1,0,0,0,N,0,79,79,67,No
36835,22,100,14,S,F,M,6,Y,0,0,100,110000,W,4,E,0,5,51.0,1.89,2,31,A,0,1,0,0,0,1,0,0,0,N,0,45,31,28,No
19094,49,100,12,S,F,S,3,Y,45,65,45,20000,H,3,O,0,6,0.0,0.42,0,63,A,0,1,0,0,0,1,0,0,0,N,0,67,63,51,No
6163,61,100,12,S,F,M,3,N,45,45,45,142000,W,3,E,3,0,77.45,0.38,8,15,A,1,1,0,0,0,2,0,0,0,N,0,300,15,3,Yes
24331,42,100,7,S,F,M,6,Y,100,100,100,139000,W,7,E,0,1,97.91,0.9,6,13,A,0,5,0,0,0,6,0,0,0,N,0,110,87,62,No
