CustomerID,Age,HomeOwner,ResidenceLength,DwellingType,Gender,Marital,HouseholdSize,ChildPresent,Child0.5,Child6.12,Child13.18,Income,Occupation,HomeValue,MagazineStatus,PaidDirectMailOrders,YearsSinceLastOrder,TotalAmountPaid,PoundsPerIssue,TotalPaidOrders,MonthsSinceLastPayment,LastPaymentType,UnpaidMagazines,PaidCashMagazines,PaidReinstateMagazines,PaidCreditMagazines,ActiveSubscriptions,ExpiredSubscriptions,RequestedCancellations,NoPayCancellations,PaidComplaints,GiftDonor,NumberGiftDonations,MonthsSince1stOrder,MonthsSinceLastOrder,MonthsSinceExpire,Renewal,StudentID
34976,41,100,8,S,F,M,2,Y,100,55,45,119000,H,7,E,0,3,20,0.48,1,63,F,0,1,0,0,0,2,0,0,0,N,0,63,63,27,No,2417549
20111,60,100,13,S,F,M,4,Y,100,100,45,123000,R,3,E,0,5,24,1,1,45,A,0,1,0,0,0,1,0,0,0,N,0,45,45,19,No,2417549
40493,47,0,1,S,F,M,1,Y,0,0,75,62500,U,3,O,0,9,27.97,2.33,1,83,A,0,1,0,0,0,1,0,0,0,N,0,83,83,69,No,2417549
8316,56,100,12,S,F,M,2,N,15,0,35,46000,R,2,A,2,0,117.95,0.65,8,3,A,0,1,0,2,1,2,0,0,0,N,0,68,68,33,No,2417549
9766,63,100,14,S,F,M,4,N,0,0,35,121000,W,4,E,0,4,227.85,2.16,7,39,A,0,3,0,0,0,3,0,0,0,N,0,158,158,97,No,2417549
24923,43,100,14,S,F,M,6,Y,100,100,100,30000,B,2,E,1,0,20,0.33,3,18,0,1,1,1,1,0,4,0,0,0,N,0,47,47,33,No,2417549
15966,62,100,4,S,M,M,4,Y,100,100,35,90000,W,9,B,0,10,117.94,1.75,6,106,A,0,3,0,0,0,2,0,1,0,N,0,118,106,95,No,2417549
4490,48,100,14,S,F,M,6,Y,45,35,100,114000,W,5,E,1,4,278.88,1.23,22,48,A,0,3,0,1,0,4,0,0,0,Y,10,137,71,55,No,2417549
38225,67,100,1,M,F,S,1,N,35,25,15,26000,M,9,E,0,5,14,1.17,1,27,A,0,1,0,0,0,1,0,0,0,N,0,27,27,13,No,2417549
31540,34,100,4,S,F,M,4,Y,75,100,100,105000,M,6,O,0,7,44,1.47,1,99,A,0,1,0,0,0,2,0,0,0,N,0,99,99,75,Yes,2417549
21316,42,100,3,S,M,M,1,Y,100,100,0,12500,U,4,C,1,6,39,0.56,2,100,1,1,0,0,1,0,1,1,0,0,N,0,138,102,65,No,2417549
12818,71,100,14,S,F,S,3,N,45,55,45,69000,M,9,O,0,11,78.47,0.79,5,137,3,0,1,0,1,0,2,0,0,0,N,0,196,123,91,No,2417549
23273,46,100,11,S,M,S,4,Y,65,100,65,174000,U,6,O,2,14,27.44,0.79,3,126,A,0,3,0,0,0,3,0,0,0,N,0,126,126,113,No,2417549
22113,34,100,14,S,M,M,6,Y,100,85,75,38000,B,4,A,0,0,40.94,0.44,5,1,A,0,2,1,0,1,2,0,0,0,N,0,17,17,4,No,2417549
1348,40,50,8,S,M,S,1,Y,35,25,25,18000,U,3,E,0,5,42,1.17,1,39,A,0,1,0,0,0,1,0,0,0,N,0,39,39,3,No,2417549
11051,54,100,3,S,F,S,3,Y,100,25,65,53000,W,8,E,2,4,104,0.65,8,55,0,1,2,0,1,0,3,0,1,0,N,0,214,57,24,No,2417549
19306,59,100,4,S,M,M,3,U,15,0,35,63000,B,2,O,0,6,22,0.92,1,63,A,0,1,0,0,0,1,0,0,0,N,0,63,63,39,No,2417549
24227,35,100,2,S,F,M,2,N,0,0,0,42500,W,3,O,0,7,25,0.76,2,108,M,0,1,0,1,0,2,0,0,0,N,0,111,111,97,No,2417549
997,42,40,5,S,M,S,1,Y,35,15,15,26000,U,1,E,0,3,56,1.17,1,60,A,0,1,0,0,0,1,0,0,0,N,0,60,60,11,No,2417549
457,36,20,1,M,F,S,1,U,25,35,15,27000,W,3,E,0,5,14,0.58,2,44,A,0,2,0,0,0,2,0,0,0,N,0,44,44,31,No,2417549
33604,40,100,5,S,F,M,2,Y,25,100,45,500000,H,9,E,0,6,63.97,0.69,3,64,A,1,2,0,0,0,2,0,1,0,N,0,64,64,40,No,2417549
16136,69,100,14,S,F,M,3,N,25,15,35,46000,U,3,O,0,6,51.97,0.83,3,78,A,0,2,0,0,0,2,0,0,0,N,0,203,135,110,No,2417549
16379,63,100,14,S,M,M,3,N,45,65,35,146000,M,4,O,0,7,13.97,1.16,1,118,A,0,1,0,0,0,1,0,0,0,N,0,118,118,106,No,2417549
31256,33,100,1,S,F,S,2,Y,0,0,0,62500,U,5,O,0,6,33,0.92,1,109,A,0,1,0,0,0,1,0,0,0,N,0,109,109,72,No,2417549
7424,49,100,8,S,F,M,3,Y,35,25,45,137000,U,5,E,2,0,66.97,0.61,5,5,A,0,2,0,1,0,3,0,0,0,N,0,101,101,65,No,2417549
6476,72,100,14,S,F,M,3,Y,15,100,100,169000,R,5,A,2,1,195,2.27,9,5,A,0,4,0,0,3,1,0,0,0,Y,1,94,93,45,Yes,2417549
3734,66,100,14,S,F,M,5,N,15,0,35,33000,M,5,B,4,10,98.97,0.62,5,104,M,1,1,0,1,0,2,0,1,0,N,0,251,104,56,No,2417549
3768,51,100,14,S,F,M,5,Y,0,55,45,121000,W,5,E,3,7,119.47,0.72,6,63,2,0,0,0,2,0,2,0,0,0,N,0,126,66,29,No,2417549
12932,51,100,1,S,F,M,6,Y,0,15,100,22000,M,3,O,0,6,48,0.92,2,97,A,0,1,0,0,0,1,0,0,0,N,0,171,97,70,No,2417549
13053,63,100,14,S,F,M,3,N,45,35,45,37000,M,2,E,3,0,251.23,1.17,14,7,A,0,3,1,0,0,4,0,0,0,N,0,245,7,4,Yes,2417549
40479,72,0,12,S,F,M,2,Y,0,0,0,42500,W,2,E,3,9,145.88,0.63,8,63,A,0,1,0,2,0,3,0,0,0,N,0,137,92,64,No,2417549
34440,64,100,14,S,M,M,2,Y,45,55,45,67000,M,1,E,0,10,113.94,1.58,2,68,A,0,2,0,0,0,2,0,0,0,N,0,68,68,32,No,2417549
15005,67,100,7,S,F,M,4,Y,100,100,75,131000,H,3,B,0,4,66.91,1.11,2,56,A,0,2,0,1,0,3,0,1,0,N,0,56,56,42,No,2417549
5280,68,100,8,S,F,S,2,N,15,0,35,66000,W,4,B,1,6,31.96,0.56,1,101,1,1,0,0,1,0,1,0,1,0,N,0,102,102,66,No,2417549
22974,26,100,11,S,M,S,2,Y,65,45,100,177000,W,2,A,0,2,189,1.27,10,6,A,0,3,0,0,1,2,0,0,0,N,0,35,35,14,No,2417549
7227,64,100,6,S,M,M,2,N,25,0,25,135000,W,6,O,2,7,68,0.89,3,68,A,0,1,0,1,0,2,0,0,0,N,0,108,108,71,No,2417549
4841,76,100,14,S,F,M,2,Y,15,0,100,68000,W,2,E,3,5,61.99,0.56,5,45,A,1,1,0,2,0,4,0,0,0,N,0,126,126,102,No,2417549
8128,61,100,14,S,M,M,2,N,0,0,0,331000,B,9,E,0,4,73.94,0.77,5,56,1,0,1,0,1,0,2,0,0,0,Y,1,53,53,16,No,2417549
32602,60,100,5,S,F,S,2,N,35,0,35,45000,W,3,E,0,3,20,0.28,1,54,A,0,1,0,0,0,1,0,0,0,N,0,55,54,17,No,2417549
27493,54,100,14,S,F,S,4,N,45,45,45,5000,W,2,E,0,4,0,0.86,0,28,A,1,2,0,0,0,2,1,0,0,N,0,62,28,12,No,2417549
19912,65,100,14,S,F,M,6,Y,100,0,100,96000,H,4,A,0,1,40,0.82,2,15,A,0,2,0,0,1,1,0,0,0,N,0,26,26,13,No,2417549
18990,45,100,5,S,F,M,4,Y,65,100,100,106000,W,5,O,0,7,0,0.42,0,71,A,0,1,0,0,0,1,0,0,0,N,0,71,71,59,No,2417549
7913,57,100,5,S,F,M,1,N,45,0,35,57000,M,2,C,1,4,20,0.5,1,50,S,1,0,0,2,0,1,1,0,1,N,0,84,84,48,No,2417549
15612,64,100,13,S,M,M,2,N,45,45,45,85000,W,4,E,0,3,115,1.83,5,45,A,0,1,0,0,0,1,0,0,0,N,0,94,45,31,No,2417549
25281,46,100,4,S,F,M,2,Y,35,35,45,125000,M,5,E,2,1,56.5,0.66,5,4,A,0,3,0,0,0,3,0,0,0,N,0,95,52,23,No,2417549
17967,42,100,10,S,F,S,1,U,25,55,45,66000,M,6,O,0,7,22,0.94,1,61,1,0,0,0,2,0,2,0,0,0,N,0,101,101,76,No,2417549
8043,58,100,14,S,F,M,2,N,45,25,35,135000,W,7,E,1,5,25.65,0.53,3,50,1,0,0,0,1,0,1,0,0,0,Y,2,78,52,30,No,2417549
9238,69,100,14,S,F,M,2,N,25,0,35,58000,M,2,E,2,3,61,0.64,6,48,1,0,0,0,1,0,1,0,0,0,N,0,244,49,12,No,2417549
26905,60,100,8,S,F,M,1,U,0,0,0,62500,U,3,O,1,9,55.97,0.85,3,100,1,0,0,0,1,0,1,0,0,0,N,0,274,100,72,No,2417549
2542,72,100,1,M,F,M,3,Y,45,100,100,500000,U,8,O,2,8,64.96,0.81,3,124,3,0,1,0,1,0,2,0,0,0,N,0,144,124,95,No,2417549
15964,44,100,14,S,F,M,3,Y,15,65,45,137000,M,8,O,0,10,131.97,0.92,7,109,1,0,3,0,1,0,4,0,0,0,N,0,229,111,97,No,2417549
3199,68,100,14,M,F,M,5,N,45,35,35,44000,B,4,B,2,9,100.88,0.92,5,62,A,1,3,0,1,0,4,0,1,0,N,0,150,78,61,No,2417549
24788,47,100,14,S,F,M,5,Y,100,100,100,63000,M,5,A,0,2,128.97,0.79,8,9,A,0,3,0,2,2,3,0,0,0,N,0,41,17,4,No,2417549
37398,74,100,6,S,F,S,1,Y,45,45,35,6000,H,1,E,0,5,34,1.1,4,32,A,0,3,0,0,0,3,0,0,0,N,0,35,32,22,No,2417549
32207,44,100,4,S,F,M,4,Y,100,100,100,236000,M,9,O,0,10,17,1.42,1,98,A,0,1,0,0,0,1,0,0,0,N,0,98,98,86,Yes,2417549
40630,69,0,9,M,M,S,2,U,15,25,35,36000,W,5,B,0,9,181.85,0.81,11,66,S,0,3,0,1,0,1,0,3,0,N,0,145,117,74,No,2417549
31718,51,100,7,S,F,M,3,Y,0,100,100,250000,H,9,O,1,7,103.92,1.86,3,96,A,0,3,0,0,0,4,0,0,0,N,0,96,96,80,Yes,2417549
25749,38,100,6,S,F,S,1,N,35,45,45,12000,W,3,O,0,9,22,0.92,1,79,1,0,0,0,1,0,1,0,0,0,N,0,81,81,56,No,2417549
27248,58,100,1,M,F,M,3,Y,0,100,100,30000,U,6,O,0,7,16.97,0.42,1,65,A,0,2,0,0,0,2,0,0,0,N,0,65,65,53,No,2417549
3815,49,100,14,S,F,M,2,Y,100,0,100,98000,W,3,E,1,2,102.91,0.44,13,23,1,0,0,0,3,0,4,0,0,0,N,0,69,69,33,No,2417549
35819,34,100,1,S,F,S,6,U,35,0,35,109000,U,4,E,0,4,62.97,1.95,2,35,A,0,2,0,0,0,2,0,0,0,N,0,35,35,15,No,2417549
4697,69,100,14,S,M,M,5,N,35,15,25,311000,M,9,A,4,2,271.84,0.8,19,8,A,0,3,0,0,1,2,0,0,0,Y,1,119,119,107,No,2417549
41729,41,0,6,M,F,M,3,Y,100,0,0,87500,M,7,E,0,5,7.5,0.54,2,40,A,0,2,0,0,0,2,0,0,0,N,0,47,47,33,No,2417549
18395,70,100,12,S,F,S,4,N,25,0,35,60000,W,4,E,0,5,37.61,0.66,4,42,A,0,2,0,2,0,4,0,0,0,Y,1,78,42,25,No,2417549
3606,54,100,1,M,F,U,2,N,0,0,0,20000,U,4,O,2,11,99.28,0.79,6,166,2,0,0,0,1,0,1,0,0,0,Y,1,249,121,104,No,2417549
27590,59,100,1,M,M,M,2,N,0,0,0,112500,W,5,E,4,5,88.97,0.5,6,49,I,0,0,0,3,0,3,0,0,0,N,0,222,118,81,No,2417549
17725,62,100,14,S,M,M,4,Y,100,35,25,28000,R,1,O,0,9,15.97,1.33,1,104,A,0,1,0,0,0,1,0,0,0,N,0,104,104,92,No,2417549
16735,58,100,14,S,F,M,2,N,25,0,35,71000,W,2,O,0,8,85,0.92,5,118,A,0,1,0,0,0,1,0,0,0,N,0,124,118,98,No,2417549
27246,71,100,5,M,U,S,2,N,0,0,0,30000,W,4,E,8,0,82,0.58,14,12,S,3,2,0,0,0,1,1,2,0,N,0,348,27,7,Yes,2417549
12522,51,100,14,S,F,M,6,Y,0,45,100,121000,B,2,E,1,3,33.94,0.53,2,55,2,0,0,0,1,0,1,0,0,0,N,0,158,56,20,No,2417549
13375,72,100,14,S,F,M,2,N,45,45,35,116000,U,7,O,0,2,264.54,0.83,9,79,A,0,4,1,0,0,5,0,0,0,N,0,324,79,49,No,2417549
4505,69,100,13,S,F,M,2,N,35,0,35,67000,M,4,E,4,1,152.89,0.43,14,19,4,1,1,0,2,0,3,0,1,0,Y,1,274,24,6,Yes,2417549
9447,69,100,14,S,F,M,2,N,15,0,35,54000,R,2,E,2,3,75.97,0.58,6,30,A,2,1,0,1,0,3,1,0,0,N,0,60,33,20,No,2417549
3758,62,100,14,S,F,M,2,N,25,15,45,5000,W,3,O,3,7,95.57,0.73,6,83,1,0,0,0,1,0,1,0,0,0,N,0,234,84,47,No,2417549
2112,29,70,1,S,F,S,3,Y,0,100,15,95000,U,4,E,0,4,42,1.32,3,32,A,0,2,0,0,0,2,0,0,0,N,0,58,32,27,No,2417549
29102,34,100,8,S,F,M,2,Y,100,100,0,62500,W,3,E,0,0,49.5,0.7,4,6,A,0,2,0,1,0,4,0,0,0,N,0,140,75,38,No,2417549
39105,60,0,14,M,F,S,1,U,25,0,35,7000,U,2,E,0,2,187.97,1.14,10,26,A,0,3,0,0,0,2,0,1,0,N,0,43,43,30,No,2417549
37515,36,100,1,M,F,S,2,Y,25,35,45,56000,M,3,E,0,4,10,1.25,1,37,A,0,1,0,0,0,1,0,0,0,N,0,37,37,27,No,2417549
40134,38,0,8,S,F,M,5,Y,100,100,100,59000,W,7,O,0,6,121.99,1,3,68,1,0,2,0,1,0,4,0,0,0,N,0,140,140,80,No,2417549
32784,30,100,7,S,F,M,4,Y,100,65,35,87000,W,4,E,0,1,103.62,0.78,4,13,A,0,2,1,0,0,3,0,0,0,N,0,87,83,56,No,2417549
40622,38,0,1,S,F,M,6,Y,100,100,100,83000,M,3,A,0,0,254,1.44,5,22,A,1,4,0,0,2,3,0,1,0,N,0,44,44,6,No,2417549
32224,49,100,4,S,F,S,3,Y,0,0,100,42500,U,1,O,0,10,22,0.92,1,96,2,0,0,0,1,0,1,0,0,0,N,0,98,98,74,No,2417549
8259,74,100,7,S,F,S,3,Y,45,65,35,43000,M,2,A,3,1,67.94,0.52,5,11,5,0,1,0,2,1,2,0,0,0,N,0,72,72,36,No,2417549
19317,68,100,6,S,M,M,5,Y,100,35,35,155000,B,6,O,0,7,22,1.83,1,62,A,0,1,0,0,0,1,0,0,0,N,0,62,62,50,No,2417549
37191,77,100,13,S,F,S,1,N,15,0,45,9000,U,3,E,0,3,0,0.56,0,40,A,0,1,0,0,0,1,0,0,0,N,0,40,40,25,No,2417549
12635,53,100,14,S,F,M,2,N,35,0,45,79000,W,3,E,2,4,65.97,0.77,4,59,1,0,0,0,2,0,2,0,0,0,N,0,132,61,25,No,2417549
498,71,20,1,M,F,S,3,Y,100,35,25,41000,U,3,E,0,1,22,0.49,2,8,A,0,1,0,1,0,3,0,0,0,N,0,66,66,22,No,2417549
10657,65,100,4,S,F,M,4,Y,35,100,100,43000,W,5,O,2,6,67.97,1.36,3,98,2,0,0,0,2,0,2,0,0,0,N,0,138,126,89,No,2417549
23588,36,100,14,S,F,M,3,Y,100,75,65,21000,R,2,B,0,7,92.44,0,5,133,F,0,2,1,0,0,3,0,1,0,N,0,133,133,70,No,2417549
9844,52,100,8,S,F,M,4,N,15,0,45,111000,W,4,A,9,3,156,0.5,20,33,A,1,3,0,0,1,3,0,0,0,Y,3,275,78,41,No,2417549
1835,27,70,1,S,M,S,4,Y,35,15,15,53000,M,7,E,1,3,18.97,0.51,1,34,A,0,1,0,1,0,2,0,0,0,N,0,57,57,19,No,2417549
18114,48,100,8,S,F,S,6,Y,0,55,45,94000,W,4,O,0,8,19.97,0.83,2,96,A,0,2,0,0,0,2,0,0,0,N,0,96,96,84,No,2417549
2657,58,100,14,S,F,M,4,Y,0,35,75,72000,M,2,E,2,4,105.97,0.62,6,40,A,0,1,0,0,0,1,0,0,0,N,0,409,40,9,Yes,2417549
18374,62,100,6,M,F,M,3,Y,35,25,35,73000,U,3,O,0,9,0,1,0,85,1,0,0,0,1,0,1,0,0,0,N,0,85,85,72,No,2417549
28320,68,100,14,S,F,M,2,N,35,15,35,58000,R,5,B,0,7,34.97,0.42,2,78,A,1,1,0,0,0,1,0,1,0,N,0,184,78,61,No,2417549
24492,35,100,1,S,F,S,1,U,35,55,45,65000,M,3,O,0,7,37,1,2,98,2,0,0,0,1,0,1,0,0,0,N,0,107,99,59,No,2417549
28301,52,100,4,M,M,M,4,N,0,0,0,112500,W,7,O,0,7,28,1.58,2,117,A,0,1,0,0,0,1,0,0,0,N,0,179,117,105,No,2417549
38850,49,0,14,S,F,S,3,Y,65,65,100,40000,W,3,E,0,5,24,1.09,2,71,I,0,1,0,1,0,2,0,0,0,N,0,406,71,59,No,2417549
4116,76,100,14,S,F,M,4,N,45,45,45,63000,R,2,E,1,3,43.47,0.92,3,39,A,0,1,0,1,0,2,0,0,0,N,0,229,39,16,No,2417549
5411,72,100,7,S,F,M,2,N,15,0,35,114000,U,5,C,4,10,125.94,0.96,7,75,0,1,2,0,1,0,3,1,0,0,Y,3,166,85,70,No,2417549
22515,40,100,1,S,F,M,6,Y,100,100,100,182000,M,9,A,0,1,113.94,1.27,7,2,A,0,3,0,1,1,4,0,0,0,N,0,206,75,51,Yes,2417549
11849,60,100,14,S,F,M,4,N,0,0,45,61000,U,3,E,1,3,53,0.69,6,39,A,1,3,0,0,0,3,1,0,0,Y,6,237,40,27,No,2417549
40709,60,0,14,S,F,M,2,N,25,15,35,69000,H,8,O,0,9,277.91,1.26,16,114,A,0,4,0,0,0,4,0,0,0,Y,1,143,143,118,No,2417549
13733,52,100,14,S,F,M,2,N,45,45,45,106000,W,3,O,2,9,71,0.77,4,85,A,0,2,0,2,0,4,0,0,0,N,0,111,111,75,No,2417549
2005,27,70,1,S,F,M,2,Y,100,100,65,55000,U,2,E,0,4,42,0.88,1,52,A,0,1,0,0,0,2,0,0,0,N,0,52,52,15,No,2417549
6019,63,100,4,S,M,M,2,N,0,0,15,146000,B,9,O,5,6,124.43,0.83,7,115,A,0,2,0,0,0,2,0,0,0,N,0,274,115,58,No,2417549
12914,52,100,14,S,F,M,3,Y,45,100,100,84000,W,4,C,0,9,64.5,0,3,150,F,0,2,0,0,0,2,0,0,1,N,0,197,150,95,No,2417549
9780,57,100,1,M,F,M,6,Y,35,0,15,32000,W,4,A,7,0,210.92,0.5,21,4,A,2,3,0,1,2,3,1,0,0,Y,10,300,5,10,Yes,2417549
39363,49,0,2,S,F,M,5,Y,100,25,100,112000,W,5,E,2,2,115.86,0.69,9,8,A,0,3,0,2,0,6,0,0,0,N,0,35,35,13,No,2417549
20797,30,100,5,S,F,M,6,Y,100,100,0,135000,B,4,E,0,5,0,0.56,0,26,A,0,1,0,0,0,1,0,0,0,N,0,26,26,13,No,2417549
27749,44,100,11,S,F,M,2,Y,100,55,65,93000,M,4,O,0,6,75.29,1.34,3,114,A,0,3,0,0,0,3,0,0,0,N,0,217,119,86,No,2417549
24749,29,100,8,S,F,S,2,Y,0,100,0,62500,W,3,O,4,8,49,0.41,4,93,F,0,2,0,0,0,3,0,0,0,N,0,94,93,46,No,2417549
11971,63,100,14,S,F,M,4,Y,45,45,45,69000,M,3,A,5,0,352.84,1.05,21,4,A,0,2,0,3,1,4,0,0,0,Y,2,99,99,63,No,2417549
14897,64,100,14,S,F,M,2,N,35,0,35,105000,R,4,E,1,4,18.97,0.53,1,59,1,0,0,0,1,0,1,0,0,0,N,0,60,60,23,No,2417549
11159,52,100,14,S,F,M,3,Y,45,55,45,70000,M,3,O,1,10,37,0.56,2,80,1,0,0,0,1,0,1,0,0,0,N,0,205,82,45,No,2417549
35610,68,100,5,M,F,S,2,Y,45,35,100,30000,M,2,E,0,2,41,1.17,2,21,A,0,2,0,0,0,2,0,0,0,N,0,58,58,33,No,2417549
22792,46,100,14,S,F,M,4,Y,100,100,100,98000,M,3,A,0,2,13.97,1.45,1,2,A,0,1,1,1,1,2,0,0,0,N,0,121,111,97,Yes,2417549
13014,78,100,14,S,F,M,2,N,0,35,35,5000,R,1,E,2,0,77.93,1.02,6,14,A,0,2,1,1,0,4,0,0,0,N,0,266,122,86,No,2417549
14904,55,100,8,S,F,M,4,Y,100,45,65,148000,W,5,E,1,3,60.97,1.18,3,60,A,0,2,0,0,0,2,0,0,0,N,0,79,60,23,No,2417549
4224,67,100,5,S,F,M,2,N,25,0,35,76000,R,4,E,0,4,85.28,0.89,7,44,1,1,1,0,2,0,3,1,0,0,N,0,256,50,13,No,2417549
30693,72,100,12,S,M,M,3,N,45,65,45,500000,W,9,O,0,10,40.96,1.58,3,117,A,0,2,0,0,0,2,0,0,0,N,0,171,117,104,No,2417549
23333,36,100,9,S,F,M,2,Y,65,100,65,175000,W,6,A,0,2,148,0.95,4,24,A,0,1,1,0,1,1,0,0,0,N,0,179,100,34,No,2417549
1795,32,70,2,S,F,S,1,Y,45,15,35,42000,U,9,O,1,9,20,0.56,1,112,2,0,0,0,1,0,1,0,0,0,N,0,114,114,77,No,2417549
26756,73,100,14,S,F,M,3,N,45,65,35,29000,U,5,E,0,2,9.99,0.43,1,22,A,2,3,0,0,0,3,2,0,0,N,0,22,22,10,No,2417549
26679,76,100,5,S,F,S,4,N,0,0,0,62500,M,1,B,6,5,139.94,0.47,10,95,0,1,3,0,1,0,4,0,1,0,N,0,136,136,112,No,2417549
27915,50,100,1,M,M,M,2,Y,0,100,15,5000,U,4,O,2,6,36,0.53,2,119,1,0,0,0,1,0,1,0,0,0,N,0,204,120,83,No,2417549
10071,56,100,14,S,F,M,4,N,45,15,35,130000,U,8,O,0,13,138.46,0.79,9,121,A,0,2,0,0,0,2,0,0,0,N,0,312,121,93,Yes,2417549
36824,41,100,5,S,F,M,3,Y,0,0,35,37000,M,4,E,0,3,0,0.56,0,45,A,0,1,0,0,0,1,0,0,0,N,0,45,45,31,No,2417549
30992,36,100,1,S,F,M,3,Y,0,0,100,17500,U,2,E,0,2,37,1.04,2,14,A,0,2,0,1,0,4,0,0,0,N,0,111,111,86,No,2417549
28951,41,100,14,S,F,M,2,Y,0,100,100,101000,W,3,A,0,2,0,1.31,0,4,A,0,2,0,0,1,2,0,0,0,N,0,146,87,72,Yes,2417549
33747,33,100,1,S,F,M,3,Y,100,100,100,25000,B,2,B,0,2,12,0.74,2,15,S,0,3,0,0,0,2,0,2,0,N,0,52,52,39,No,2417549
26499,35,100,2,S,F,S,1,U,45,65,35,5000,B,9,A,0,0,68.97,1.33,3,15,A,0,1,0,2,1,2,0,0,0,N,0,42,42,16,No,2417549
36996,54,100,6,S,F,M,2,N,25,0,45,35000,W,4,E,0,3,30,0.62,2,43,A,0,2,0,0,0,2,0,0,0,N,0,43,43,18,No,2417549
5132,74,100,8,S,F,S,2,U,0,0,0,42500,W,5,C,4,9,82.29,0.49,6,74,1,1,1,0,2,0,3,1,0,0,N,0,188,120,83,No,2417549
12603,61,100,14,S,F,S,6,Y,100,100,35,116000,M,3,A,2,2,127.95,0.98,5,20,A,1,2,0,1,1,1,1,1,0,Y,1,81,81,55,No,2417549
13059,52,100,1,S,F,M,3,N,45,45,45,135000,W,5,E,0,1,137.91,0.7,9,21,A,2,4,0,0,0,4,1,1,0,N,0,96,28,13,No,2417549
14431,62,100,11,S,M,M,3,Y,100,100,45,71000,M,3,O,1,6,37,0.62,2,75,A,0,1,0,1,0,2,0,0,0,N,0,99,99,63,No,2417549
2028,41,70,1,S,F,M,2,Y,0,75,0,225000,U,9,E,0,4,84.01,0.86,6,41,A,0,4,0,0,0,4,0,0,0,N,0,42,42,29,No,2417549
16892,55,100,3,S,M,S,1,Y,100,15,35,20000,M,4,O,0,8,38,1.58,1,119,A,0,1,0,0,0,1,0,0,0,N,0,127,119,104,No,2417549
22944,38,100,14,S,F,M,3,Y,100,65,45,84000,M,2,A,0,2,152,0.77,6,3,A,0,2,0,0,1,1,0,0,0,N,0,136,136,72,No,2417549
26190,32,100,4,S,F,M,3,Y,15,15,100,264000,W,9,E,1,6,18.97,0.53,1,65,1,0,0,0,1,0,1,0,0,0,N,0,69,69,31,No,2417549
2476,65,100,14,S,F,M,5,N,45,35,45,105000,W,5,A,4,1,107,0.48,12,2,A,0,1,0,3,3,1,0,0,0,N,0,243,16,11,Yes,2417549
13486,69,100,5,S,M,M,2,N,15,0,25,128000,W,4,A,2,3,300,1.8,9,25,A,0,2,0,0,1,1,0,0,0,N,0,109,109,38,No,2417549
5107,49,100,14,S,F,M,1,Y,65,100,100,88000,W,3,O,0,10,47.98,0.81,4,81,A,0,2,0,0,0,3,0,0,0,N,0,96,81,56,No,2417549
34469,29,100,3,S,F,S,4,Y,100,0,0,62500,M,4,O,0,3,0,0.56,0,53,A,0,1,0,0,0,1,0,0,0,N,0,53,53,37,No,2417549
